BugName,Baseline,AutoSD
Cli_6,,
Cli_7,,
Cli_8,,
Cli_9,,TRUE
Cli_10,,
Cli_11,TRUE,TRUE
Cli_12,FALSE,
Cli_13,,
Cli_14,,
Cli_15,,
Cli_16,,
Cli_17,TRUE,TRUE
Cli_18,,
Cli_19,TRUE,TRUE
Cli_20,,
Cli_21,,
Cli_22,,
Cli_23,FALSE,FALSE
Cli_24,,
Cli_25,,
Cli_26,,
Cli_27,TRUE,TRUE
Cli_28,TRUE,TRUE
Cli_29,,
Cli_30,,
Cli_31,,
Cli_32,,
Cli_33,,TRUE
Cli_34,,
Cli_35,TRUE,TRUE
Cli_36,,
Cli_37,,FALSE
Cli_38,FALSE,FALSE
Cli_39,,
Cli_40,TRUE,TRUE
Closure_134,,
Closure_135,,
Closure_136,,
Closure_137,,
Closure_138,,
Closure_139,,
Closure_140,,
Closure_141,,
Closure_142,,
Closure_143,,
Closure_144,,
Closure_145,,
Closure_146,,
Closure_147,,
Closure_148,,
Closure_149,,
Closure_150,,
Closure_151,,
Closure_152,,
Closure_153,,
Closure_154,,
Closure_155,,
Closure_156,FALSE,
Closure_157,,
Closure_158,,
Closure_159,,
Closure_160,,
Closure_161,,
Closure_162,,
Closure_163,,
Closure_164,,
Closure_165,,
Closure_166,,
Closure_167,,
Closure_168,,
Closure_169,,
Closure_170,,
Closure_171,,
Closure_172,,
Closure_173,,
Closure_174,,
Closure_175,,
Closure_176,,
Codec_1,,
Codec_2,,
Codec_3,TRUE,TRUE
Codec_4,,
Codec_5,,TRUE
Codec_6,FALSE,
Codec_7,TRUE,TRUE
Codec_8,FALSE,
Codec_9,FALSE,TRUE
Codec_10,,
Codec_11,,
Codec_12,,
Codec_13,,
Codec_14,,
Codec_15,,
Codec_16,,
Codec_17,TRUE,TRUE
Codec_18,TRUE,TRUE
Collections_25,,
Collections_26,TRUE,TRUE
Collections_27,,
Collections_28,,
Compress_1,,
Compress_2,,
Compress_3,,
Compress_4,,
Compress_5,TRUE,TRUE
Compress_6,,TRUE
Compress_7,,
Compress_8,,
Compress_9,,
Compress_10,FALSE,FALSE
Compress_11,FALSE,FALSE
Compress_12,TRUE,TRUE
Compress_13,FALSE,FALSE
Compress_14,,
Compress_15,TRUE,TRUE
Compress_16,,FALSE
Compress_17,,
Compress_18,,
Compress_19,TRUE,FALSE
Compress_20,,FALSE
Compress_21,TRUE,
Compress_22,,
Compress_23,TRUE,FALSE
Compress_24,FALSE,TRUE
Compress_25,,
Compress_26,TRUE,TRUE
Compress_27,TRUE,TRUE
Compress_28,FALSE,FALSE
Compress_29,,
Compress_30,TRUE,TRUE
Compress_31,TRUE,TRUE
Compress_32,TRUE,TRUE
Compress_33,,
Compress_34,,
Compress_35,FALSE,TRUE
Compress_36,,
Compress_37,FALSE,FALSE
Compress_38,TRUE,TRUE
Compress_39,,
Compress_40,,
Compress_41,,
Compress_42,,
Compress_43,,
Compress_44,TRUE,TRUE
Compress_45,TRUE,TRUE
Compress_46,TRUE,TRUE
Compress_47,FALSE,FALSE
